title,authors,year,doi,primary_category,secondary_categories,evidence_level,tags,clinical_significance,key_findings,sample_size,mortality_count,qtc_data,herg_data,electrolyte_data,contraindications,dosing_range,route,source_pdf,journal,aliases,source_url,pmid,pmcid,open_access,publisher,body_format,issn,filepath
From the Roots Up: Ibogaine and Addict Self-Help,"Frenken, Geerte",2001,,WHITE,,qualitative,topic/history; topic/harm-reduction; topic/opioid; topic/withdrawal; topic/traditional-use; topic/policy; method/qualitative,moderate,Dutch addict self-help movement (INTASH) treated 8 opiate-dependent subjects with ibogaine 20 mg/kg; 7/8 achieved 6-month abstinence with complete acute withdrawal resolution,8,,false,false,false,,"20 mg/kg ibogaine HCl oral (capsules, single dose) for addiction interruption; 10 mg/kg for initiatory sessions",oral,2001/Frenken2001_RootsUp_INTASH_SelfHelp.pdf,,Frenken 2001; INTASH Self-Help Chapter; From the Roots Up,,,,true,,vault-analytical,,2001/Frenken2001_RootsUp_INTASH_SelfHelp.md
Mechanisms of Action of Ibogaine: Relevance to Putative Therapeutic Effects and Development of a Safer Iboga Alkaloid Congener,"Glick, Stanley D.; Maisonneuve, Isabelle M.; Szumlinski, Karen K.",2001,10.1016/S0099-9598(01)56006-X,ORANGE,BLUE,review,topic/mechanism; topic/receptor; topic/dopamine; topic/opioid; topic/noribogaine; topic/18-mc; topic/toxicity; mechanism/kappa-opioid; mechanism/nmda-antagonism; method/preclinical; method/review,high,"Comprehensive receptor screen of ibogaine, noribogaine, and 18-MC across 23 binding sites; 18-MC mimics antiaddictive efficacy without tremor, cerebellar toxicity, or cardiac effects; both reverse sensitised dopamine responses.",,,false,false,false,,,,.local/pdfs/2001/Glick2001_Mechanisms_Action_Ibogaine_18MC.pdf,The Alkaloids: Chemistry and Biology,Glick 2001; Glick Maisonneuve Szumlinski 2001; Mechanisms of action ibogaine 18-MC Alkaloids,,11705115,,true,Elsevier,vault-analytical,,2001/Glick2001_Mechanisms_Action_Ibogaine_18MC.md
Case Studies of Ibogaine Treatment: Implications for Patient Management Strategies,"Lotsof, Howard S.; Alexander, Norma E.",2001,10.1016/s0099-9598(01)56020-4,BLUE,GREEN; PURPLE; WHITE,case-series,topic/opioid; topic/withdrawal; topic/phenomenology; topic/protocol; topic/history; topic/efficacy; topic/harm-reduction; method/case-series,high,"Three case studies across drug user, self-help, and clinical settings document opioid withdrawal attenuation and craving reduction; richer oneirophrenic experiences correlate with longer drug-free periods.",5,,false,false,false,,"0.14–19 mg/kg oral (1962 group); 100 mg test dose + 1200 mg therapeutic (ICASH, ~1989); 100 mg + 25 mg test doses, 10 mg/kg experimental, 20 mg/kg therapeutic (Panama clinical)",oral,2001/Lotsof2001_Case_Studies_Patient_Management.pdf,The Alkaloids: Chemistry and Biology,Lotsof 2001; Lotsof Alexander 2001 Case Studies; Ibogaine Case Studies Patient Management,,11705114,,true,Elsevier,hybrid,,2001/Lotsof2001_Case_Studies_Patient_Management.md
Ibogaine in the Treatment of Heroin Withdrawal,"Mash, Deborah C.; Kovera, Craig A.; Pablo, John; Tyndale, Rachel; Ervin, Frank R.; Kamlet, Jeffrey D.; Hearn, W. Lee",2001,,ORANGE,BLUE,cohort,topic/pharmacokinetics; topic/opioid; topic/cyp2d6; topic/noribogaine,high,"PHARMACOKINETICS: Ibogaine peaks ~1h (3.2±1.3 µg/mL at 8-12mg/kg), T½ 7.3±3.2h. Noribogaine appears within 2h, persists 24-48+ hours. CYP2D6 polymorphisms affect metabolism. Establishes dose-PK relationships.",32,,true,false,false,,8–12 mg/kg oral ibogaine (human),oral,2001/Mash2001_Ibogaine_Heroin_Withdrawal.pdf,The Alkaloids: Chemistry and Biology,Mash 2001; Mash Heroin 2001,,,,true,,academic-retained,,2001/Mash2001_Ibogaine_Heroin_Withdrawal.md
Ibogaine: A Novel Anti-Addictive Compound - A Comprehensive Literature Review,"Freedlander, Jonathan",2002,,ORANGE,WHITE; RED,review,method/review; topic/history; topic/mechanism; topic/harm-reduction,moderate,"ACADEMIC REVIEW: Comprehensive UMBC thesis covering Lotsof history 1962-2002, pharmacology (CYP2D6→noribogaine, multi-receptor profile), 3 fatalities (1989-2000), Purkinje toxicity >75mg/kg, 18-MC as non-toxic alternative.",,,false,false,false,,"4–19 mg/kg oral ibogaine (human, reviewed)",oral,2002/Freelander2002_Comprehensive_Review.pdf,,Freelander 2002; Freedlander 2002; Freelander,,,,true,,academic-retained,,2002/Freelander2002_Comprehensive_Review.md
Ibogaine Related Fatality,"Marker, E.K.; Stajic, M.",2002,10.1051/ata/2002012,RED,,case-report,topic/adverse-event; topic/pharmacokinetics; topic/toxicity; method/case-report,high,"Ibogaine fatality in 36yo male polydrug user; tissue concentrations: subclavian blood 9225 ng/mL, brain 18563 ng/kg, liver 18137 ng/kg — extremely high levels",1,1,false,false,false,"Unsupervised ibogaine use; Concurrent substance abuse (morphine, cocaine metabolites detected); Polydrug use with alcohol (empty bottles at scene); Absence of medical monitoring; Chronic substance abuse history","unknown (ibogaine source and dose not specified; blood level 9225 ng/mL suggests massive exposure, brain/liver concentrations 18137–18563 ng/kg)",not-specified,2002/Marker2002_Ibogaine_Related_Fatality.pdf,Annales de Toxicologie Analytique,Marker 2002; Marker Stajic 2002 Ibogaine Fatality; TIAFT 2002 Ibogaine Death,,,,false,EDP Sciences,vault-analytical,,2002/Marker2002_Ibogaine_Related_Fatality.md
Enantioselective Synthesis of Key Intermediates in a Novel Approach towards the Iboga-Alkaloid Family,"Höck, Stefan; Borschberg, Hans-Jürg",2003,,ORANGE,,in-vitro,topic/analogues; topic/mechanism,low,"Improved enantioselective synthesis of isoquinuclidine intermediates for iboga alkaloids from L-glutamic acid via intramolecular 1,3-dipolar cycloaddition; both antipodal series accessible.",,,false,false,false,,,not-applicable,2003/Hoeck2003_Enantioselective_Synthesis_Iboga_Intermediates.pdf,Helvetica Chimica Acta,Hoeck 2003; Höck Borschberg Iboga Synthesis,,,,unknown,,vault-analytical,,2003/Hoeck2003_Enantioselective_Synthesis_Iboga_Intermediates.md
Life after Ibogaine: An exploratory study of the long-term effects of ibogaine treatment on drug addicts,"Bastiaans, Ehud",2004,,PURPLE,BLUE,observational,topic/efficacy; method/qualitative; topic/harm-reduction,moderate,"VU AMSTERDAM STUDY: n=21, 87% opioid primary. Drug-free periods: 1 treatment=9.7mo, 2 treatments=35.7mo, 3 treatments=52mo. HCl vs extract: 26.8 vs 2.1mo abstinence. 92% reported anxiety improvement.",21,,false,false,false,,,,2004/Bastiaans2004_Life_After_Ibogaine.pdf,,Bastiaans 2004; Bastiaans,,,,true,,academic-retained,,2004/Bastiaans2004_Life_After_Ibogaine.md
Combating Substance Abuse with Ibogaine: Pre- and Posttreatment Recommendations and an Example of Successive Model Fitting Analyses,"Hittner, James B.; Quello, Susan B.",2004,10.1080/02791072.2004.10399729,BLUE,GREEN,review,topic/opioid; topic/efficacy; topic/protocol; topic/withdrawal; method/review,moderate,Dose-to-weight ratio predicts heroin abstinence (sigmoidal R²=.88); threshold ~16 mg/kg; pre/posttreatment psychosocial recommendations proposed,,,false,false,false,"Active psychosis or psychosis-prone individuals (schizophrenia, bipolar disorder)",700–1800 mg oral ibogaine HCl (11.7–25.0 mg/kg DWR); test dose 100–200 mg; threshold ~16 mg/kg,oral,2004/Hittner2004_Ibogaine_Treatment_Recommendations_Model_Fitting.pdf,Journal of Psychoactive Drugs,Hittner 2004; Ibogaine Pre-Post Treatment Recommendations; Successive Model Fitting Ibogaine,,15369200,,false,Taylor & Francis,hybrid,,2004/Hittner2004_Ibogaine_Treatment_Recommendations_Model_Fitting.md
Glial Cell Line-Derived Neurotrophic Factor Mediates the Desirable Actions of the Anti-addiction Drug Ibogaine against Alcohol Consumption,"He, Dao-Yao; McGough, Nancy N. H.; Ravindranathan, Ajay; Jeanblanc, Jerome; Logrip, Marian L.; Phamluong, Khanhky; Janak, Patricia H.; Ron, Dorit",2005,10.1523/JNEUROSCI.3959-04.2005,ORANGE,,preclinical,topic/gdnf; topic/mechanism; mechanism/dopamine-modulation; topic/alcohol; method/preclinical,high,Ibogaine reduces ethanol self-admin via VTA GDNF upregulation. Intra-VTA GDNF mimics effect; anti-GDNF antibodies attenuate it (79% vs 39% reduction). No neurotoxicity at 40 mg/kg.,,,false,false,false,,,,2005/He2005_GDNF_Ibogaine_Alcohol.pdf,The Journal of Neuroscience,He 2005; Ibogaine GDNF alcohol VTA,,15659598,,false,Society for Neuroscience,hybrid,,2005/He2005_GDNF_Ibogaine_Alcohol.md
"Ibogaine in the 21st Century: Boosters, Tune-ups and Maintenance","Kroupa, Patrick K.; Wells, Hattie",2005,,GREEN,BLUE,case-series,topic/protocol; topic/noribogaine,high,"Landmark MAPS Bulletin introducing booster/maintenance protocols: 500-800mg follow-up doses during noribogaine window extend benefits, reduce relapse. Clean maintenance (drug-free) vs dirty maintenance (harm reduction) protocols.",45,,false,false,false,"Concurrent opiate/opioid use at higher ibogaine doses — ibogaine potentiates analgesic effect, difference between 50 mg and 500 mg described as 'quite possibly fatal'; Maintenance regimen beyond 20-25 days without break — jitteriness, sleep disturbance, overstimulation",Flood 16–18 mg/kg; boosters/tune-ups 500–800 mg; clean maintenance 50 mg 2x/week + 100 mg every 45 days; dirty maintenance 25–50 mg/day oral,oral,2005/Kroupa2005_Boosters_Maintenance.pdf,MAPS Bulletin,Kroupa 2005; Kroupa; Kroupa & Wells 2005,,,,unknown,,narrative,,2005/Kroupa2005_Boosters_Maintenance.md
"Ibogaine Therapy: A 'Vast, Uncontrolled Experiment'","Vastag, Brian",2005,10.1126/science.308.5720.345,WHITE,ORANGE; BLUE,journalism,topic/policy; topic/history; topic/opioid; topic/gdnf; topic/noribogaine; method/journalism; topic/18-mc,moderate,"News feature documenting >5000 ibogaine treatments worldwide by 2005, 30-40 clinics operating, upcoming Mash phase I trial and Israeli efficacy study, Ron GDNF findings, and Glick 18-MC development.",,,false,false,false,Irregular cardiac rhythms (exclusion criterion at St. Kitts clinic),,,2005/Vastag2005_Ibogaine_Vast_Uncontrolled_Experiment.pdf,Science,Vastag 2005; Ibogaine Vast Uncontrolled Experiment,,15831735,,true,AAAS,vault-analytical,,2005/Vastag2005_Ibogaine_Vast_Uncontrolled_Experiment.md
"Autoregulation of glial cell line-derived neurotrophic factor expression: implications for the long-lasting actions of the anti-addiction drug, Ibogaine","He, Dao-Yao; Ron, Dorit",2006,10.1096/fj.06-6394fje,ORANGE,BLUE,in-vitro,topic/gdnf; topic/mechanism; topic/neuroplasticity; topic/dopamine; method/in-vitro,high,FOUNDATIONAL: First demonstration that ibogaine upregulates GDNF via autoregulatory feedback loop. 10µM ibogaine induces sustained GDNF mRNA increase (48h+). GDNF positively regulates own expression - mechanism for long-term anti-addiction effects.,,,false,false,false,,10 µM ibogaine HCl in cell culture,not-applicable,2006/He2006_Ibogaine_and_GDNF.pdf,FASEB Journal,He 2006; He & Ron 2006; Ibogaine GDNF Autoregulation,,17023388,,false,FASEB,vault-analytical,,2006/He2006_Ibogaine_and_GDNF.md
Simultaneous quantification of ibogaine and noribogaine in human plasma and whole blood by liquid chromatography with electrospray ionization mass spectrometric detection,"Kontrimavičiūtė, Vilma; Breton, Hervé; Mathieu, Olivier; Mathieu-Daudé, Jean Claude; Bressolle, Françoise M.M.",2006,10.1016/j.jchromb.2006.05.035,ORANGE,RED,in-vitro,topic/pharmacokinetics; topic/noribogaine; topic/toxicity; topic/adverse-event; method/in-vitro,moderate,"First validated LC-ESI-MS method for ibogaine/noribogaine in plasma (LLOQ 0.89/1 µg/L) and whole blood (LLOQ 1.78/2 µg/kg). Fatal poisoning case: blood levels 10.8 µg/g ibogaine, 20.8 µg/g noribogaine (10–20× therapeutic).",,1,false,false,false,,,,2006/Kontrimaviciute2006_.pdf,Journal of Chromatography B,Kontrimavičiūtė 2006; LC-MS ibogaine noribogaine quantification,,16798116,,false,Elsevier,vault-analytical,,2006/Kontrimaviciute2006_LCMS_Method_Ibogaine_Noribogaine.md
Distribution of Ibogaine and Noribogaine in a Man Following a Poisoning Involving Root Bark of the Tabernanthe iboga Shrub,"Kontrimavičiūtė, Violeta; Mathieu, Olivier; Mathieu-Daudé, Jean-Claude; Vainauskas, Paulius; Casper, Thierry; Baccino, Eric; Bressolle, Françoise M.M.",2006,10.1093/jat/30.7.434,RED,ORANGE,case-report,topic/adverse-event; topic/pharmacokinetics; topic/noribogaine; method/case-report,high,"First human tissue distribution of ibogaine/noribogaine post-mortem. Highest concentrations in lung (50.1/55.9 µg/g), liver (40.5/50.5 µg/g), brain (12.5/18.7 µg/g). Blood levels 5–20× therapeutic range.",1,1,false,false,false,Unsupervised root bark ingestion; Concomitant drug abuse history; Absence of medical monitoring,"unknown (root bark, ~18 spoonfuls over ~10 hours, blood levels 5–20× therapeutic)",oral,2006/Kontrimaviciute2006_Tissue_Distribution_Ibogaine_Fatality.pdf,Journal of Analytical Toxicology,Kontrimavičiūtė 2006; Ibogaine Tissue Distribution Fatality,,16959135,,false,Oxford University Press,vault-analytical,,2006/Kontrimaviciute2006_Tissue_Distribution_Ibogaine_Fatality.md
Fatalities after taking ibogaine in addiction treatment could be related to sudden cardiac death caused by autonomic dysfunction,"Maas, Uwe; Strubelt, Sünje",2006,10.1016/j.mehy.2006.02.050,RED,WHITE,review,topic/cardiac; topic/adverse-event; topic/traditional-use; method/review,high,Hypothesises ibogaine fatalities are sudden cardiac deaths from autonomic dysregulation; Bwiti ritual maintains right-hemispheric trance as cardioprotective mechanism,,8,false,false,false,"Pre-existing cardiovascular disease; Epilepsy (associated autonomic dysfunction); Psychiatric conditions with autonomic dysregulation (schizophrenia, PTSD, depression)",variable — fatalities after doses from sub-therapeutic (<10 mg/kg) to standard therapeutic (20–30 mg/kg); exact doses often unknown in retrospective cases,oral,2006/Maas2006_Cardiac_Fatalities_Autonomic_Dysfunction.doc,Medical Hypotheses,Maas 2006; Maas & Strubelt 2006; Autonomic Dysfunction Hypothesis,,16698188,,false,Elsevier,vault-analytical,,2006/Maas2006_Cardiac_Fatalities_Autonomic_Dysfunction.md
Ibogaine affects brain energy metabolism,"Paškulin, Roman; Jamnik, Polona; Živin, Marko; Raspor, Peter; Štrukelj, Borut",2006,10.1016/j.ejphar.2006.09.008,ORANGE,,preclinical,mechanism/energy-metabolism; topic/mechanism; method/proteomics; topic/neuroplasticity,moderate,"NOVEL MECHANISM: Ibogaine induces glycolysis/TCA cycle enzymes (GAPDH, aldolase A, pyruvate kinase, malate dehydrogenase) at 24-72h. Anti-addiction effect may be mediated by enhanced energy availability for neuroplasticity.",,,false,false,false,,20 mg/kg i.p. (rats),intraperitoneal,2006/Paskulin2006_Ibogaine_Affects_Brain_Energy_Metabolism.pdf,European Journal of Pharmacology,Paskulin 2006; Paskulin; Paškulin Energy 2006,,17054944,,false,Elsevier,vault-analytical,,2006/Paskulin2006_Ibogaine_Affects_Brain_Energy_Metabolism.md
The Use of Ibogaine in the Treatment of Addictions,"Alper, Kenneth R.; Lotsof, Howard S.",2007,,BLUE,GREEN; ORANGE,review,topic/efficacy; topic/mechanism; method/review,high,"DEFINITIVE CLINICAL OVERVIEW: Comprehensive Alper/Lotsof chapter covering mechanisms, dosing protocols, safety considerations, global treatment landscape, and NIDA research history. Key reference for ibogaine clinical practice.",,,false,false,false,,15–25 mg/kg (reviewed protocols),oral,2007/Alper2007_Ibogaine_Treatment_Addictions.pdf,,Lotsof-Alper 2007; Lotsof-Alper; Alper Lotsof 2007,,,,true,Praeger/Greenwood Publishing Group,academic-retained,,2007/Alper2007_Ibogaine_Treatment_Addictions.md
The ibogaine medical subculture,"Alper, Kenneth R.; Lotsof, Howard S.; Kaplan, Charles D.",2008,10.1016/j.jep.2007.08.034,WHITE,RED; BLUE; GREEN,observational,topic/history; topic/opioid; topic/policy; topic/harm-reduction; method/observational,high,"3414 individuals took ibogaine by Feb 2006 (4× increase over 5yr); 68% for substance disorders, 53% for opioid withdrawal; 11 fatalities reported 1990–2006, mostly cardiac-related with pre-existing risk factors",3414,11,false,false,false,"Cardiac disease (prior MI, cardiomyopathy, valvular disease); Acute hepatitis; Psychotic disorders",,,2008/Alper2008_Ibogaine_Medical_Subculture.pdf,Journal of Ethnopharmacology,Alper 2008; Ibogaine Medical Subculture; Alper Lotsof Kaplan 2008,,18029124,,false,Elsevier,vault-analytical,,2008/Alper2008_Ibogaine_Medical_Subculture.md
Determination of ibogaine and noribogaine in biological fluids and hair by LC–MS/MS after Tabernanthe iboga abuse: Iboga alkaloids distribution in a drowning death case,"Chèze, Marjorie; Lenoan, Aurélie; Deveaux, Marc; Pépin, Gilbert",2008,10.1016/j.forsciint.2007.08.013,RED,ORANGE,case-report,topic/adverse-event; topic/pharmacokinetics; topic/noribogaine; topic/toxicity; method/case-report,high,Post-mortem ibogaine/noribogaine distribution in 9 tissue types after iboga-related drowning; first report of ibogaine detection in hair (1.2/2.5 ng/mg),1,1,false,false,false,Pre-existing myocardial bridging; Unsupervised iboga root bark ingestion; Absence of medical monitoring; Use in uncontrolled settings (Bwiti ceremony context),"unknown (iboga root bark; blood levels elevated relative to published therapeutic range — femoral ibogaine 3.3 µg/mL, noribogaine 4.6 µg/mL)",oral,2008/Cheze2008_.pdf,Forensic Science International,Chèze 2008; Ibogaine Drowning Forensic Toxicology; Ibogaine Hair Analysis Case,,18024037,,false,Elsevier,vault-analytical,,2008/Cheze2008_Ibogaine_Noribogaine_LC-MSMS_Drowning_Death.md
"Ibogaine, an anti-addictive drug: pharmacology and time to go further in development. A narrative review","Mačiulaitis, R; Kontrimavičiūtė, V; Bressolle, FMM; Briedis, V",2008,10.1177/0960327107087802,ORANGE,GREEN; BLUE; RED; WHITE,review,topic/pharmacokinetics; topic/mechanism; topic/receptor; topic/noribogaine; method/review,moderate,"Comprehensive pharmacology review: noribogaine 10× more potent at SERT (IC₅₀ 0.04 vs 0.59 μM), full μ-opioid agonist (IC₅₀ 0.16 vs 11.0 μM); CYP2D6 polymorphism yields 9× lower noribogaine Cmax in PMs",,,false,false,false,CYP2D6 poor metaboliser status (altered ibogaine/noribogaine ratio); Pre-existing cardiac conditions (dose-dependent cardiotoxicity in preclinical models); Concomitant hepatically-metabolised drugs (CYP2D6 pathway),,,2008/Maciulaitis2008_Ibogaine_Pharmacology_Narrative_Review.pdf,Human & Experimental Toxicology,Maciulaitis 2008; Ibogaine Narrative Pharmacology Review,,18650249,,false,SAGE,vault-analytical,,2008/Maciulaitis2008_Ibogaine_Pharmacology_Narrative_Review.md
Long-QT Syndrome Induced by the Antiaddiction Drug Ibogaine,"Hoelen, Dianne W.M.; Spiering, Wilko; Valk, Gerlof D.",2009,10.1056/NEJMc0804248,RED,,case-report,topic/cardiac; topic/adverse-event; topic/electrolytes; method/case-report,landmark,First published case of ibogaine-induced Long-QT syndrome (QTc 616 ms) with ventricular tachyarrhythmias in a 31-year-old woman; QT normalised at 42 hours; concurrent hypomagnesaemia and hypokalaemia identified.,1,,true,false,true,"Pre-existing QT prolongation; Electrolyte imbalance (hypomagnesaemia, hypokalaemia)",3.5 g ibogaine 15% preparation (single dose),oral,2009/Hoelen2009_Long_QT_Ibogaine.pdf,New England Journal of Medicine,Hoelen 2009; NEJM ibogaine Long-QT case,,19144953,,false,NEJM Group,vault-analytical,,2009/Hoelen2009_Long_QT_Ibogaine.md
Iboga: Between Myth and Reality,"Paškulin, Roman",2009,10.1007/s10298-009-0366-y,WHITE,ORANGE,review,topic/traditional-use; topic/pharmacokinetics,low,"COMPREHENSIVE REVIEW: French-language synthesis of iboga's dual identity - traditional Bwiti medicine (convalescence, fatigue, spiritual ritual) and modern anti-addiction research. Bridges cultural and scientific perspectives.",,,false,false,false,,,not-applicable,2009/Paskulin2009_Translated_French_Iboga_Between_Myth_Reality.pdf,Phytothérapie,Paskulin 2009; Paskulin; Paškulin 2009,,,,false,Springer Nature,academic-retained,,2009/Paskulin2009_Translated_French_Iboga_Between_Myth_Reality.md
Interaction of ibogaine with human α3β4-nicotinic acetylcholine receptors in different conformational states,"Arias, Hugo R.; Rosenberg, Avraham; Targowska-Duda, Katarzyna M.; Feuerbach, Dominik; Yuan, Xiao Juan; Jozwiak, Krzysztof; Moaddel, Ruin; Wainer, Irving W.",2010,,ORANGE,,in-vitro,mechanism/nicotinic-receptor; topic/mechanism; topic/receptor,moderate,RECEPTOR MECHANISM: Ibogaine inhibits human α3β4 nAChRs with state-dependent binding - higher affinity for desensitised states. Noncompetitive mechanism supports nicotinic modulation as key anti-addiction pathway.,,,false,false,false,,N/A (receptor binding Ki 0.57 µM),not-specified,2010/Arias2010_Interactions_Ibogaine_NicotinicAChR_Human.pdf,International Journal of Biochemistry & Cell Biology,Arias 2010; Arias; Arias nAChR 2010,,,,unknown,,vault-analytical,,2010/Arias2010_Interactions_Ibogaine_NicotinicAChR_Human.md
"Noribogaine, but not 18-MC, exhibits similar actions as ibogaine on GDNF expression and ethanol self-administration","Carnicella, Sebastien; He, Dao-Yao; Yowell, Quinn V.; Glick, Stanley D.; Ron, Dorit",2010,10.1111/j.1369-1600.2010.00251.x,ORANGE,,preclinical,topic/noribogaine; topic/18-mc; topic/gdnf; topic/alcohol; mechanism/dopamine-modulation; method/preclinical,high,Noribogaine increases GDNF expression like ibogaine; 18-MC does not. Intra-VTA noribogaine reduces alcohol self-administration; 18-MC does not. Different mechanisms despite similar anti-addictive profiles. Key for analogue development.,,,false,false,false,,5–50 µM (cell culture); 0.5–4 µg/µl intra-VTA (rats),not-specified,2010/Carnicella2010_Noribogaine_18MC_GDNF.pdf,Addiction Biology,Carnicella 2010; Noribogaine vs 18-MC GDNF Study,,21040239,PMC3783954,true,Wiley,vault-analytical,,2010/Carnicella2010_Noribogaine_18MC_GDNF.md
Induction of energy metabolism related enzymes in yeast Saccharomyces cerevisiae exposed to ibogaine is adaptation to acute decrease in ATP energy pool,"Paškulin, Roman; Jamnik, Polona; Obermajer, Nataša; Slavić, Marija; Štrukelj, Borut",2010,10.1016/j.ejphar.2009.10.032,ORANGE,,preclinical,mechanism/energy-metabolism; method/preclinical,low,MECHANISM CONFIRMATION: Yeast model shows ibogaine causes acute ATP decrease triggering compensatory enzyme induction. Supports energy metabolism hypothesis - neuroplasticity may require enhanced metabolic capacity.,,,false,false,false,,1–20 mg/l (≈3–64 µM) in yeast culture,not-specified,2010/Paskulin2010_Yeast_Enzymes_Ibogaine_Adaptation_ATP.pdf,European Journal of Pharmacology,Paskulin 2010; Paskulin; Paškulin ATP 2010,,19853595,,false,Elsevier,vault-analytical,,2010/Paskulin2010_Yeast_Enzymes_Ibogaine_Adaptation_ATP.md
Psychedelics and the Human Receptorome,"Ray, Thomas S.",2010,10.1371/journal.pone.0009019,ORANGE,,in-vitro,topic/pharmacokinetics; topic/receptor; topic/noribogaine; mechanism/sigma-receptor,high,"NIMH-PDSP receptorome study: 35 psychedelics at 51 receptor sites. Table S1 comprehensive ibogaine/noribogaine Ki data: high σ2, κ-opioid, SERT affinity. Novel Ki normalization method for comparing multi-receptor profiles.",,,false,false,false,,N/A (receptor binding Ki values),not-specified,2010/Ray2010_Psychedelics_Human_Receptorome.pdf,PLoS ONE,Ray 2010; Ray; Receptorome 2010,,20126400,PMC2814854,true,PLoS,academic-retained,,2010/Ray2010_Psychedelics_Human_Receptorome.md
Ibogaine and the inhibition of acetylcholinesterase,"Alper, Kenneth R.; Reith, Maarten E. A.; Sershen, Henry",2011,,ORANGE,,in-vitro,mechanism/nicotinic-receptor; topic/mechanism; topic/cyp2d6,low,"NOVEL MECHANISM: Ibogaine inhibits acetylcholinesterase, contributing to muscarinic cholinergic effects. Adds to multi-receptor profile and may explain some pharmacological/toxicological properties.",,,false,false,false,,N/A (IC₅₀ = 520 ± 40 µM for AChE inhibition),not-specified,2011/Alper2011_Ibogaine_Inhibition_AChE.pdf,Journal of Ethnopharmacology,Alper 2011; Alper; Alper AChE 2011,,,,unknown,,academic-retained,,2011/Alper2011_Ibogaine_Inhibition_AChE.md
The Need for Ibogaine in Drug and Alcohol Addiction Treatment,"Donnelly, Jennifer R.",2011,10.1080/01947648.2011.550832,WHITE,BLUE; RED,review,topic/policy; topic/opioid; topic/harm-reduction; topic/history; topic/alcohol; method/review,moderate,"Legal commentary argues ibogaine should be rescheduled from Schedule I to II in the US, citing 83% withdrawal-free outcomes, societal costs of $181B/yr for drug abuse, and low abuse potential",,9,false,false,false,"Significantly impaired liver function; ECG abnormalities or previous heart problems; Severe mental health problems (schizophrenia, bipolar disorder); HIV positive or Hepatitis C symptomatic; Current antipsychotic medication use; Long-term medication with no prior data on ibogaine interactions; Narcotic analgesics, cocaine, amphetamines, or alcohol use within 12 hours prior to treatment",,,2011/Donnelly2011_Ibogaine_Drug_Alcohol_Addiction_Legal.pdf,Journal of Legal Medicine,Donnelly 2011; Ibogaine Drug Alcohol Addiction Legal Commentary; Need for Ibogaine in Addiction Treatment,,21391058,,false,Taylor & Francis,vault-analytical,,2011/Donnelly2011_Ibogaine_Drug_Alcohol_Addiction_Legal.md
Ibogaine-Associated Psychosis in Schizophrenia: A Case Report,"Houenou, Josselin; Homri, Wided; Leboyer, Marion; Drancourt, Noémie",2011,10.1097/JCP.0b013e31822c6509,BLUE,GREEN,case-report,topic/adverse-event; topic/psychiatric; method/case-report,moderate,First report of ibogaine-associated psychosis in schizophrenia; recommends excluding schizophrenia from ibogaine trials and screening for ibogaine use in shamanic-ritual psychosis,1,,false,false,false,Schizophrenia or psychotic disorders; Attenuated psychotic symptoms or prodromal psychosis; Active psychosis; Unsupervised consumption outside clinical setting; Daily or chronic ibogaine use,"unquantified (Iboga powder, small amounts escalating to daily use over 2 months)",oral,2011/Houenou2011_Ibogaine_Psychosis_Schizophrenia.pdf,Journal of Clinical Psychopharmacology,Houenou 2011; Ibogaine Psychosis Schizophrenia Case Report,,21881451,,false,Lippincott Williams & Wilkins,vault-analytical,,2011/Houenou2011_Ibogaine_Psychosis_Schizophrenia.md
"The Visionary Cure of the Addiction War? Ibogaine: Social Context, Subcultural Identity, and Implications for Drug Policy","Rodger, James",2011,10.1108/17459261111174037,WHITE,,qualitative,topic/policy; topic/history; topic/traditional-use; topic/harm-reduction; topic/opioid; method/qualitative,moderate,"Ibogaine treatment attracts addicts through subcultural identity formation that inverts dominant culture values; 3,414 treatments by 2006, 12 deaths since 1990",,,false,false,false,,,,2011/Rodger2011_SocialContext_Subcultural_DrugPolicy.pdf,Drugs and Alcohol Today,Rodger 2011; Ibogaine Social Context Subcultural Identity,,,,false,Emerald Publishing,vault-analytical,,2011/Rodger2011_SocialContext_Subcultural_DrugPolicy.md
Fatalities Temporally Associated with the Ingestion of Ibogaine,"Alper, Kenneth R.; Stajić, Marina; Gill, James R.",2012,10.1111/j.1556-4029.2011.02008.x,RED,GREEN,systematic-review,topic/adverse-event; method/systematic-review; topic/cardiac,landmark,FOUNDATIONAL: Systematic review of all 19 ibogaine fatalities (1990-2008). 12/14 adequate autopsies showed cardiovascular comorbidities + polysubstance intoxication explained deaths. No characteristic neurotoxicity syndrome.,19,19,false,false,true,cardiovascular disease; coronary artery atherosclerosis; dilated cardiomyopathy; ventricular hypertrophy; liver disease; opioid co-use; benzodiazepine withdrawal; alcohol withdrawal; cocaine use; hypokalemia; hypomagnesemia,4.5–29 mg/kg (mean 14.3±6.1),oral,2012/Alper2012_Ibogaine_Fatalities.pdf,Journal of Forensic Sciences,Alper 2012; Alper; Alper Fatalities 2012,,22268458,,false,Wiley,vault-analytical,,2012/Alper2012_Ibogaine_Fatalities.md
